"Gene ID","name","HRT D7 T3","HRT D7 P5","HRT D4 T1","HRT D4 T3","HRT D4 P2","HRT D7 T1","HRT D7 T4","HRT D7 P4","HRT D7 P6","HRT D4 T2","HRT D4 P1","HRT D4 P3"
"ENSMUSG00000088579.1","Gm25460",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082703.1","Gm11907",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077425.1","Gm24280",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103121.1","Ighv15-1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088666.1","Gm25329",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086823.7","1700028P15Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108899.1","ENSMUSG00000108899.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096757.2","Olfr251",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000113164.1","ENSMUSG00000113164.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000107011.1","ENSMUSG00000107011.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110585.1","ENSMUSG00000110585.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090306.5","Adh6-ps1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000113875.1","ENSMUSG00000113875.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091163.4","Gm3962",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100273.1","Gm29526",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114317.1","ENSMUSG00000114317.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058740.14","Kcnt1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055827.13","Gsdmc3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000092244.3","Esp34",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077419.1","Gm23744",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117443.1","ENSMUSG00000117443.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078597.2","Cyp4a12b",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000092532.1","Vmn2r-ps84",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111921.1","ENSMUSG00000111921.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079271.4","1700049E17Rik1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117124.1","ENSMUSG00000117124.1",0,0,0,0,0,0,0,0,0,0,0,0
