"Gene ID","name","HRT D4 P1","HRT D4 P2","HRT D4 P3","HRT D4 T1","HRT D4 T2","HRT D4 T3","HRT D7 P4","HRT D7 P5","HRT D7 P6","HRT D7 T1","HRT D7 T3","HRT D7 T4"
"ENSMUSG00000030469.10","Zfp719",0,13,3,11,3,4,18,12,25,18,13,3
"ENSMUSG00000030583.16","Sipa1l3",38,58,21,30,28,7,46,37,39,35,32,21
"ENSMUSG00000079484.12","Phyhd1",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000091735.2","Gpr62",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050493.8","Fam167b",0,6,0,2,1,0,8,0,0,2,1,0
"ENSMUSG00000070692.6","Rps12-ps10",28,21,10,22,15,6,20,16,26,24,6,12
"ENSMUSG00000099397.1","Gm7809",4,5,2,5,4,2,6,2,10,3,7,6
"ENSMUSG00000022438.6","Parvb",40,68,50,74,62,39,95,87,86,68,64,28
"ENSMUSG00000030079.15","Ruvbl1",4,4,4,16,5,2,3,3,4,8,3,0
"ENSMUSG00000030045.10","Mrpl19",31,26,14,57,15,21,37,22,30,14,20,18
"ENSMUSG00000118518.1","ENSMUSG00000118518.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101540.2","Gm28465",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081030.1","Gm12704",0,1,0,1,6,1,3,2,6,0,1,1
"ENSMUSG00000029605.16","Oas1b",6,1,0,1,8,0,0,0,8,6,1,2
"ENSMUSG00000038174.14","Fam126b",20,36,19,53,37,10,40,26,97,29,28,12
"ENSMUSG00000083887.1","Gm11930",1,0,0,0,0,0,0,3,0,0,0,0
"ENSMUSG00000101671.1","Gm28221",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058186.13","Gm13242",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000036168.15","Ccdc38",3,0,0,0,2,0,1,0,0,0,0,0
"ENSMUSG00000030007.8","Cct7",235,322,171,319,205,120,333,170,313,170,185,100
"ENSMUSG00000034224.14","Slc38a8",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031921.17","Terf2",65,49,17,107,45,48,118,65,86,42,63,38
"ENSMUSG00000084253.1","Gm11256",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000024548.11","Setbp1",0,0,0,0,0,0,0,0,0,1,3,0
